grid_id,lon,lat,flare_label_ever,mean_risk,max_risk,active_months_validation_f1,strict_active_months,discovery_active_months,post_max_risk,post_mean_risk,post_strict_active_months,post_discovery_active_months,oilgas_candidate_ever
29583,43.77401,35.998707,0,0.02323489366985213,0.29524190286758956,0,8,41,0.29524190286758956,0.03383246253503018,4,20,1
25020,43.83226,35.809963,0,0.10590633917400842,0.5084033613445379,2,64,84,0.2857142857142857,0.06800770204362032,24,35,1
30330,44.150806,36.03803,0,0.03487495206918566,0.2857142857142857,0,18,60,0.2857142857142857,0.08279519960016017,17,23,1
16751,44.35484,35.51637,0,0.04412368661965429,0.2857142857142857,0,36,84,0.2857142857142857,0.05038631420097221,16,35,1
68326,44.50629,35.99494,0,0.21252302060954484,0.33854166666666674,0,24,24,0.2857142857142857,0.18877088139678067,12,12,1
68327,44.517384,35.994987,0,0.20728710248709467,0.33854166666666674,0,24,24,0.2857142857142857,0.156644626581635,12,12,1
68875,44.161907,36.03811,0,0.08817812733917452,0.2857142857142857,0,16,24,0.2857142857142857,0.12142484609426936,11,12,1
54035,44.807938,35.121193,0,0.0722927119673042,0.2857142857142857,0,10,22,0.2857142857142857,0.14434410835885278,10,12,1
5775,44.818913,35.121212,0,0.0254688957839312,0.2857142857142857,0,10,23,0.2857142857142857,0.06636989429052474,10,17,1
13810,44.44381,35.40861,0,0.01884051086355601,0.2857142857142857,0,14,79,0.2857142857142857,0.028626057062799727,8,31,1
63162,44.08835,35.676937,0,0.0649063622482473,0.2857142857142857,0,15,24,0.2857142857142857,0.08522012871272681,8,12,1
29191,43.79647,35.980904,0,0.0611930264738378,0.5663265306122449,2,18,59,0.2857142857142857,0.06084646372781289,7,23,1
68400,43.72964,35.998245,0,0.06743757422050899,0.2857142857142857,0,14,24,0.2857142857142857,0.05957293728753268,7,12,1
68751,44.195297,36.02932,0,0.07399289245487123,0.2857142857142857,0,13,24,0.2857142857142857,0.08009396689569202,7,12,1
21536,43.85607,35.692986,0,0.051558119397629935,0.5663265306122449,2,27,84,0.2857142857142857,0.018215986388417107,6,35,1
29805,44.184383,36.011215,0,0.02342604286027284,0.2857142857142857,0,12,58,0.2857142857142857,0.03707050623111275,5,21,1
59931,44.388264,35.47146,0,0.03532754458313296,0.2857142857142857,0,6,21,0.2857142857142857,0.04441142101476244,5,11,1
63155,43.966812,35.675957,0,0.1062616126697894,0.5663265306122449,3,12,24,0.2857142857142857,0.03528804114245781,3,12,1
32965,43.74897,36.178753,0,0.01495153346243003,0.2857142857142857,0,5,59,0.2857142857142857,0.022338131013048563,2,23,1
29620,44.184475,36.0022,0,0.06912692917105277,0.26373626373626374,0,49,60,0.26373626373626374,0.06704026895276671,18,23,1
28984,43.75225,35.971436,0,0.09657417729475912,0.5084033613445379,2,38,60,0.26373626373626374,0.08864412955854843,15,23,1
